hidden,output,seed,method,lr,scale,batch,epochs,first_below,best_loss
softplus,relu,59,Adam,0.01,1.0,50,3000,,0.010000042190415743
softplus,relu,60,Adam,0.01,1.0,50,3000,,1.0218023566093543e-08
softplus,relu,61,Adam,0.01,1.0,50,3000,,2.0100309747838385e-08
softplus,relu,62,Adam,0.01,1.0,50,3000,,1.1017082997334718e-06
softplus,relu,63,Adam,0.01,1.0,50,3000,,0.12000000000829912
softplus,relu,64,Adam,0.01,1.0,50,3000,1516,9.688543416179775e-09
softplus,relu,65,Adam,0.01,1.0,50,3000,1481,9.834716103098397e-09
softplus,relu,66,Adam,0.01,1.0,50,3000,2445,8.870161721899957e-09
softplus,relu,67,Adam,0.01,1.0,50,3000,,0.08000000000175811
softplus,relu,68,Adam,0.01,1.0,50,3000,1736,9.333340736735104e-09
softplus,relu,69,Adam,0.01,1.0,50,3000,,0.01
softplus,relu,70,Adam,0.01,1.0,50,3000,,0.05000000186399776
softplus,relu,71,Adam,0.01,1.0,50,3000,,0.07
softplus,relu,72,Adam,0.01,1.0,50,3000,2109,9.75526593818492e-09
softplus,relu,73,Adam,0.01,1.0,50,3000,,1.4245392631833798e-08
softplus,relu,74,Adam,0.01,1.0,50,3000,,0.01
softplus,relu,75,Adam,0.01,1.0,50,3000,2210,9.85830103846579e-09
softplus,relu,76,Adam,0.01,1.0,50,3000,2006,9.952123663785326e-09
softplus,relu,77,Adam,0.01,1.0,50,3000,,0.050000001554347175
softplus,relu,78,Adam,0.01,1.0,50,3000,,0.0214770498387099
softplus,relu,79,Adam,0.01,1.0,50,3000,,0.01
softplus,relu,80,Adam,0.01,1.0,50,3000,2783,9.971423343791625e-09
softplus,relu,81,Adam,0.01,1.0,50,3000,2021,9.948386975706463e-09
softplus,relu,82,Adam,0.01,1.0,50,3000,,2.9545410473358053e-07
softplus,relu,83,Adam,0.01,1.0,50,3000,,2.629138681423316e-07
softplus,relu,84,Adam,0.01,1.0,50,3000,2208,9.749305036887057e-09
softplus,relu,85,Adam,0.01,1.0,50,3000,,3.966552642718181e-08
softplus,relu,86,Adam,0.01,1.0,50,3000,,0.010000000011113652
softplus,relu,87,Adam,0.01,1.0,50,3000,,0.010000000000488894
softplus,relu,88,Adam,0.01,1.0,50,3000,,1.0153333201767508e-08
softplus,relu,89,Adam,0.01,1.0,50,3000,,0.01
softplus,relu,90,Adam,0.01,1.0,50,3000,1639,9.920234063347889e-09
softplus,relu,91,Adam,0.01,1.0,50,3000,1397,9.839441784198584e-09
softplus,relu,92,Adam,0.01,1.0,50,3000,,0.0200000000284308
softplus,relu,93,Adam,0.01,1.0,50,3000,,1.9932126889910752e-06
softplus,relu,94,Adam,0.01,1.0,50,3000,1664,9.851712487699803e-09
softplus,relu,95,Adam,0.01,1.0,50,3000,1995,9.906563277444348e-09
softplus,relu,96,Adam,0.01,1.0,50,3000,1452,9.660358350610417e-09
softplus,relu,97,Adam,0.01,1.0,50,3000,,0.010000000034342673
softplus,relu,98,Adam,0.01,1.0,50,3000,,0.07
softplus,relu,99,Adam,0.01,1.0,50,3000,,0.020000004042864967
leaky_relu,relu,5,Adam,0.01,1.0,50,3000,,0.12060953978317769
leaky_relu,relu,6,Adam,0.01,1.0,50,3000,,0.09420332175451683
leaky_relu,relu,7,Adam,0.01,1.0,50,3000,,0.06
leaky_relu,relu,8,Adam,0.01,1.0,50,3000,,0.19
leaky_relu,relu,9,Adam,0.01,1.0,50,3000,,0.08000000000000047
leaky_relu,relu,10,Adam,0.01,1.0,50,3000,,0.01
leaky_relu,relu,11,Adam,0.01,1.0,50,3000,1254,9.583725848001074e-09
leaky_relu,relu,12,Adam,0.01,1.0,50,3000,,0.01
leaky_relu,relu,13,Adam,0.01,1.0,50,3000,,0.05
leaky_relu,relu,14,Adam,0.01,1.0,50,3000,1030,9.93751397002276e-09
leaky_relu,relu,15,Adam,0.01,1.0,50,3000,,0.25000000000000006
leaky_relu,relu,16,Adam,0.01,1.0,50,3000,,0.09000000000001097
leaky_relu,relu,17,Adam,0.01,1.0,50,3000,,0.09
leaky_relu,relu,18,Adam,0.01,1.0,50,3000,,0.070000002729713
leaky_relu,relu,19,Adam,0.01,1.0,50,3000,,0.04000000000007305
leaky_relu,relu,20,Adam,0.01,1.0,50,3000,,0.05
leaky_relu,relu,21,Adam,0.01,1.0,50,3000,,0.14
leaky_relu,relu,22,Adam,0.01,1.0,50,3000,,0.11000000000000006
leaky_relu,relu,23,Adam,0.01,1.0,50,3000,,0.04
leaky_relu,relu,24,Adam,0.01,1.0,50,3000,1330,9.890944208997294e-09
leaky_relu,relu,25,Adam,0.01,1.0,50,3000,,0.14
leaky_relu,relu,26,Adam,0.01,1.0,50,3000,,0.26
leaky_relu,relu,27,Adam,0.01,1.0,50,3000,,0.1700000000000027
leaky_relu,relu,28,Adam,0.01,1.0,50,3000,,0.03
leaky_relu,relu,29,Adam,0.01,1.0,50,3000,,0.04
leaky_relu,relu,30,Adam,0.01,1.0,50,3000,,0.02
leaky_relu,relu,31,Adam,0.01,1.0,50,3000,,0.23
leaky_relu,relu,32,Adam,0.01,1.0,50,3000,,0.13
leaky_relu,relu,33,Adam,0.01,1.0,50,3000,,0.16
leaky_relu,relu,34,Adam,0.01,1.0,50,3000,,0.01
leaky_relu,relu,35,Adam,0.01,1.0,50,3000,,0.28
leaky_relu,relu,36,Adam,0.01,1.0,50,3000,,0.04759181261117766
leaky_relu,relu,37,Adam,0.01,1.0,50,3000,1506,9.924700879838105e-09
leaky_relu,relu,38,Adam,0.01,1.0,50,3000,,0.04
leaky_relu,relu,39,Adam,0.01,1.0,50,3000,,0.19
leaky_relu,relu,40,Adam,0.01,1.0,50,3000,,0.04
leaky_relu,relu,41,Adam,0.01,1.0,50,3000,,0.13
leaky_relu,relu,42,Adam,0.01,1.0,50,3000,1471,9.853723007488072e-09
leaky_relu,relu,43,Adam,0.01,1.0,50,3000,,0.05
leaky_relu,relu,44,Adam,0.01,1.0,50,3000,,0.04
leaky_relu,relu,45,Adam,0.01,1.0,50,3000,,0.15
leaky_relu,relu,46,Adam,0.01,1.0,50,3000,,0.11000000004355029
leaky_relu,relu,47,Adam,0.01,1.0,50,3000,,0.0400000000000008
leaky_relu,relu,48,Adam,0.01,1.0,50,3000,1185,9.942447935264348e-09
leaky_relu,relu,49,Adam,0.01,1.0,50,3000,,0.04000000365762474
leaky_relu,relu,50,Adam,0.01,1.0,50,3000,,0.11000000011429652
leaky_relu,relu,51,Adam,0.01,1.0,50,3000,1045,8.923770608397424e-09
leaky_relu,relu,52,Adam,0.01,1.0,50,3000,1190,9.68009524608119e-09
leaky_relu,relu,53,Adam,0.01,1.0,50,3000,,0.24
leaky_relu,relu,54,Adam,0.01,1.0,50,3000,1173,9.827117876016211e-09
leaky_relu,relu,55,Adam,0.01,1.0,50,3000,1164,9.977122821220776e-09
leaky_relu,relu,56,Adam,0.01,1.0,50,3000,,0.09678537798661752
leaky_relu,relu,57,Adam,0.01,1.0,50,3000,,0.12
leaky_relu,relu,58,Adam,0.01,1.0,50,3000,,0.010001013391840652
leaky_relu,relu,59,Adam,0.01,1.0,50,3000,1441,9.88068243046826e-09
leaky_relu,relu,60,Adam,0.01,1.0,50,3000,,0.02
leaky_relu,relu,61,Adam,0.01,1.0,50,3000,,0.010000000000001784
leaky_relu,relu,62,Adam,0.01,1.0,50,3000,,0.12
leaky_relu,relu,63,Adam,0.01,1.0,50,3000,1141,8.867285615436993e-09
leaky_relu,relu,64,Adam,0.01,1.0,50,3000,,0.010000000000094504
leaky_relu,relu,65,Adam,0.01,1.0,50,3000,1317,9.87030748694819e-09
leaky_relu,relu,66,Adam,0.01,1.0,50,3000,,0.12
leaky_relu,relu,67,Adam,0.01,1.0,50,3000,,0.03756656715558739
leaky_relu,relu,68,Adam,0.01,1.0,50,3000,,0.15
leaky_relu,relu,69,Adam,0.01,1.0,50,3000,,0.01
leaky_relu,relu,70,Adam,0.01,1.0,50,3000,1329,9.592872215320595e-09
leaky_relu,relu,71,Adam,0.01,1.0,50,3000,1479,9.940892288845109e-09
leaky_relu,relu,72,Adam,0.01,1.0,50,3000,,0.04
